id,Date,IP Address,Internal Notes,Entered By,Desk/Location,Question Source,Question Type
75,9/3/19 14:52,,,"Library, Architecture",Architecture,Drop In,Other; Mark and Alex of TDS IT came to look at Michelle's desktop computer to apply updates and finish installing Adobe Suite.
76,9/3/19 14:52,,,"Library, Architecture",Architecture,Drop In,Other; directions to the restrooms in Storrs Hall
77,9/4/19 10:37,,,"Library, Architecture",Architecture,Drop In,Print/Copy
78,9/4/19 10:42,,,"Library, Architecture",Architecture,Drop In,Print/Copy; Referred student to Storrs Lab to print on 11x17 card stock
79,9/4/19 11:52,,,"Library, Architecture",Architecture,Drop In,Print/Copy; Directions to Storrs Print Lab
80,9/4/19 16:08,,,"Library, Architecture",Architecture,Drop In,Campus Information
81,9/4/19 17:02,,,"Library, Architecture",Architecture,Drop In,Library Information
82,9/5/19 12:57,,,"Library, Architecture",Architecture,Drop In,Scanner/Microfilm
83,9/5/19 12:57,,,"Library, Architecture",Architecture,Drop In,Print/Copy
84,9/5/19 12:57,,,"Library, Architecture",Architecture,Drop In,Scanner/Microfilm
85,9/5/19 14:01,,,"Library, Architecture",Architecture,Drop In,"[""Referral to Technology Support"",""Students were interested in checking out the Vello IR Selfie Trigger Plus for Canon Cameras, a remote control devic"
86,9/5/19 14:13,,,"Library, Architecture",Architecture,Drop In,Other; Request to use a light box
87,9/5/19 20:10,,,"Library, Architecture",Architecture,Drop In,Print/Copy
88,9/5/19 20:57,,,"Library, Architecture",Architecture,Drop In,Print/Copy
89,9/9/19 14:36,,,"Library, Architecture",Architecture,Drop In,Referral to Research Help
90,9/9/19 14:36,,,"Library, Architecture",Architecture,Drop In,General Reference
91,9/9/19 14:36,,,"Library, Architecture",Architecture,Drop In,Library Information
92,9/9/19 14:36,,,"Library, Architecture",Architecture,Drop In,Referral to Research Help
93,9/9/19 14:37,,,"Library, Architecture",Architecture,Drop In,Scanner/Microfilm
94,9/9/19 15:41,,,"Library, Architecture",Architecture,Drop In,Print/Copy
95,9/9/19 15:44,,,"Library, Architecture",Architecture,Drop In,Print/Copy
96,9/9/19 16:03,,,"Library, Architecture",Architecture,Drop In,Scanner/Microfilm
97,9/9/19 16:03,,,"Library, Architecture",Architecture,Drop In,"Other; Lost ID, referred to building manager of Storrs Hall, then Atkins Library Security"
98,9/9/19 16:13,,,"Library, Architecture",Architecture,Drop In,Scanner/Microfilm
99,9/10/19 12:04,,,"Library, Architecture",Architecture,Drop In,Print/Copy
100,9/10/19 12:25,,,"Library, Architecture",Architecture,Drop In,Print/Copy
101,9/10/19 12:26,,,"Library, Architecture",Architecture,Drop In,Other; Request for scrap paper
102,9/10/19 12:38,,,"Library, Architecture",Architecture,Drop In,Print/Copy
103,9/10/19 12:42,,,"Library, Architecture",Architecture,Drop In,Other; Parking questions
104,9/10/19 13:10,,,"Library, Architecture",Architecture,Drop In,General Reference
105,9/10/19 13:10,,,"Library, Architecture",Architecture,Drop In,Referral to Research Help
106,9/10/19 13:10,,,"Library, Architecture",Architecture,Drop In,Print/Copy
107,9/10/19 13:10,,,"Library, Architecture",Architecture,Drop In,Library Information
108,9/10/19 13:10,,,"Library, Architecture",Architecture,Drop In,Policies/Fines
109,9/10/19 14:21,,,"Library, Architecture",Architecture,Drop In,Print/Copy
110,9/10/19 14:22,,,"Library, Architecture",Architecture,Drop In,Print/Copy
111,9/10/19 14:22,,,"Library, Architecture",Architecture,Drop In,Print/Copy
112,9/10/19 14:51,,,"Library, Architecture",Architecture,Drop In,Campus Information; bathroom in storrs hall
113,9/11/19 10:51,,,"Library, Architecture",Architecture,Drop In,Print/Copy
114,9/11/19 16:15,,,"Library, Architecture",Architecture,Drop In,Library Information
115,9/11/19 21:18,,,"Library, Architecture",Architecture,Drop In,Print/Copy
116,9/13/19 14:48,,,"Library, Architecture",Architecture,Drop In,Scanner/Microfilm
117,9/13/19 14:50,,,"Library, Architecture",Architecture,Drop In,Print/Copy
118,9/13/19 14:50,,,"Library, Architecture",Architecture,Drop In,Print/Copy
119,9/13/19 14:50,,,"Library, Architecture",Architecture,Drop In,Print/Copy
120,9/13/19 14:50,,,"Library, Architecture",Architecture,Drop In,Print/Copy
121,9/13/19 14:50,,,"Library, Architecture",Architecture,Drop In,Print/Copy
122,9/13/19 14:50,,,"Library, Architecture",Architecture,Drop In,General Reference
123,9/13/19 14:50,,,"Library, Architecture",Architecture,Drop In,Campus Information
124,9/13/19 14:50,,,"Library, Architecture",Architecture,Drop In,Campus Information
125,9/13/19 14:50,,,"Library, Architecture",Architecture,Drop In,Library Information
126,9/13/19 15:45,,,"Library, Architecture",Architecture,Drop In,General Reference
127,9/13/19 15:45,,,"Library, Architecture",Architecture,Drop In,General Reference
128,9/13/19 16:37,,,"Library, Architecture",Architecture,Drop In,General Reference
129,9/13/19 16:37,,,"Library, Architecture",Architecture,Drop In,General Reference
130,9/13/19 16:56,,,"Library, Architecture",Architecture,Drop In,Scanner/Microfilm
131,9/13/19 16:57,,,"Library, Architecture",Architecture,Drop In,Library Information
132,9/13/19 16:57,,,"Library, Architecture",Architecture,Drop In,General Reference
133,9/13/19 17:24,,,"Library, Architecture",Architecture,Drop In,General Reference
134,9/13/19 17:24,,,"Library, Architecture",Architecture,Drop In,General Reference
135,9/15/19 13:48,,,"Library, Architecture",Architecture,Drop In,Other; Student lost pencil case and left name and email address if found
136,9/16/19 14:20,,,"Library, Architecture",Architecture,Drop In,Other; Request for time on clock 
137,9/16/19 16:43,,,"Library, Architecture",Architecture,Drop In,Print/Copy
138,9/16/19 16:57,,,"Library, Architecture",Architecture,Drop In,General Reference
139,9/16/19 16:57,,,"Library, Architecture",Architecture,Drop In,Library Information
140,9/16/19 16:57,,,"Library, Architecture",Architecture,Drop In,Referral to Research Help
141,9/16/19 17:39,,,"Library, Architecture",Architecture,Drop In,Campus Information; Auxiliary Services Dining Options for Vegan fare
142,9/16/19 17:39,,,"Library, Architecture",Architecture,Drop In,Library Information
143,9/16/19 17:43,,,"Library, Architecture",Architecture,Drop In,Library Information
144,9/16/19 17:45,,,"Library, Architecture",Architecture,Drop In,Library Information
145,9/17/19 9:13,,,"Library, Architecture",Architecture,Drop In,General Reference
146,9/17/19 13:06,,,"Library, Architecture",Architecture,Drop In,Referral to Technology Support
147,9/17/19 13:06,,,"Library, Architecture",Architecture,Drop In,Library Information
148,9/17/19 20:19,,,"Library, Architecture",Architecture,,Library Information
149,9/17/19 20:19,,,"Library, Architecture",Architecture,,Print/Copy
150,9/18/19 13:48,,,"Library, Architecture",Architecture,Drop In,General Reference
151,9/18/19 13:48,,,"Library, Architecture",Architecture,Drop In,General Reference
152,9/18/19 16:17,,,"Library, Architecture",Architecture,Drop In,Print/Copy
153,9/20/19 15:43,,,"Library, Architecture",Architecture,Drop In,General Reference
154,9/20/19 15:43,,,"Library, Architecture",Architecture,Drop In,General Reference
155,9/20/19 15:43,,,"Library, Architecture",Architecture,Drop In,General Reference
156,9/20/19 15:43,,,"Library, Architecture",Architecture,Drop In,General Reference
157,9/20/19 15:43,,,"Library, Architecture",Architecture,Drop In,General Reference
158,9/22/19 16:17,,,"Library, Architecture",Architecture,Drop In,Library Information
159,9/23/19 11:49,,,"Library, Architecture",Architecture,Drop In,Print/Copy
160,9/23/19 13:16,,,"Library, Architecture",Architecture,Drop In,Printers Not Connecting to Library PCs
161,9/23/19 13:16,,,"Library, Architecture",Architecture,Drop In,Print/Copy
162,9/23/19 13:16,,,"Library, Architecture",Architecture,Drop In,Print/Copy
163,9/23/19 13:16,,,"Library, Architecture",Architecture,Drop In,Printers Not Connecting to Library PCs
164,9/23/19 13:18,,,"Library, Architecture",Architecture,Drop In,Print/Copy
165,9/23/19 14:01,,,"Library, Architecture",Architecture,Drop In,Print/Copy
166,9/23/19 14:54,,,"Library, Architecture",Architecture,Drop In,Print/Copy
167,9/23/19 14:54,,,"Library, Architecture",Architecture,,Other; Use of electric stapler and refill of staples
168,9/23/19 15:38,,,"Library, Architecture",Architecture,Drop In,Campus Information; Restroom location in Storrs Hall
169,9/23/19 16:15,,,"Library, Architecture",Architecture,Drop In,Campus Information; Request for location of bathroom in Storrs Hall
170,9/23/19 18:10,,,"Library, Architecture",Architecture,Drop In,Library Information
171,9/24/19 12:44,,,"Library, Architecture",Architecture,Drop In,Policies/Fines
172,9/24/19 13:17,,,"Library, Architecture",Architecture,Drop In,"[""Other"",""Professor Maja Godlewska who led the mural project, Fragments From the Library of Babel, spoke briefly to Malena Bergmann's class to discuss"
173,9/24/19 13:48,,,"Library, Architecture",Architecture,Drop In,Print/Copy
174,9/24/19 13:48,,,"Library, Architecture",Architecture,Drop In,Print/Copy
175,9/24/19 13:58,,,"Library, Architecture",Architecture,Drop In,General Reference
176,9/24/19 14:13,,,"Library, Architecture",Architecture,Drop In,Referral to IT Office; referral to COA+A IT
177,9/24/19 14:28,,,"Library, Architecture",Architecture,Drop In,Print/Copy; Referred to Repros in Prospector Hall to print a document on 11x17 paper. 
178,9/24/19 14:30,,,"Library, Architecture",Architecture,Drop In,Print/Copy
179,9/24/19 14:55,,,"Library, Architecture",Architecture,Drop In,"[""Other"",""Two members of the faculty came in with Todd, Storrs Hall building manager, to look at possibility of using library space for a Spring 2019 "
180,9/25/19 14:30,,,"Library, Architecture",Architecture,Drop In,Print/Copy
181,9/25/19 14:30,,,"Library, Architecture",Architecture,Drop In,Print/Copy
182,9/25/19 14:30,,,"Library, Architecture",Architecture,Drop In,Print/Copy
183,9/25/19 14:30,,,"Library, Architecture",Architecture,Drop In,Print/Copy
184,9/25/19 14:30,,,"Library, Architecture",Architecture,Drop In,Print/Copy
185,9/25/19 14:30,,,"Library, Architecture",Architecture,Drop In,Print/Copy
186,9/25/19 14:30,,,"Library, Architecture",Architecture,Drop In,Print/Copy
187,9/25/19 15:38,,,"Library, Architecture",Architecture,Drop In,Policies/Fines
188,9/25/19 17:28,,,"Library, Architecture",Architecture,Drop In,Library Information
189,9/25/19 17:28,,,"Library, Architecture",Architecture,Drop In,Print/Copy
190,9/26/19 12:30,,,"Library, Architecture",Circulation,Drop In,Print/Copy
191,9/26/19 16:01,,,"Library, Architecture",Architecture,Drop In,General Reference
192,9/27/19 13:14,,,"Library, Architecture",Architecture,Drop In,General Reference
193,9/27/19 13:14,,,"Library, Architecture",Architecture,Drop In,General Reference
194,9/27/19 16:25,,,"Library, Architecture",Architecture,Drop In,Library Information
195,9/27/19 16:25,,,"Library, Architecture",Architecture,Drop In,General Reference
196,9/27/19 16:26,,,"Library, Architecture",Architecture,Drop In,Referral to IT Office
197,9/27/19 16:34,,,"Library, Architecture",Architecture,Drop In,General Reference
198,9/27/19 16:34,,,"Library, Architecture",Architecture,Drop In,General Reference
199,9/27/19 16:52,,,"Library, Architecture",Architecture,Drop In,General Reference
200,9/27/19 17:19,,,"Library, Architecture",Architecture,Drop In,General Reference
201,9/29/19 14:29,,,"Library, Architecture",Architecture,Drop In,Print/Copy
202,9/29/19 14:29,,,"Library, Architecture",Architecture,Drop In,Print/Copy
203,9/29/19 15:27,,,"Library, Architecture",Architecture,Drop In,Print/Copy
204,9/30/19 10:46,,,"Library, Architecture",Architecture,Drop In,Library Information
205,9/30/19 11:25,,,"Library, Architecture",Architecture,Drop In,Print/Copy; Said it was printing and took money but hasn't printed.
206,9/30/19 13:14,,,"Library, Architecture",Architecture,Drop In,Campus Information
207,9/30/19 14:11,,,"Library, Architecture",Architecture,Drop In,Referral to Research Help
208,9/30/19 14:12,,,"Library, Architecture",Architecture,Drop In,"Other; Professor Eric Sauda requested to reserve a Smart TV for Friday, October 4, 2019. "
209,9/30/19 14:47,,,"Library, Architecture",Architecture,Drop In,"[""Other"",""Professor Jose Gamez, interim director of the School of Architecture, came in to visit with his students, and Michelle took an opportunity t"
210,9/30/19 15:57,,,"Library, Architecture",Architecture,Drop In,Other; Request for stapler
211,9/30/19 16:00,,,"Library, Architecture",Architecture,Drop In,"[""Other"",""Professor Eric Sauda came back to check model number on largest smartTV to see if he is able to use it to broadcast from a mobile phone. Mig"
212,9/30/19 16:07,,,"Library, Architecture",Architecture,Drop In,Referral to Research Help
213,9/30/19 16:10,,,"Library, Architecture",Architecture,Drop In,"[""General Reference"",""Professor Nick Ault walked in with 4 students to introduce them to searching for books topically on the shelf. I also referred t"
214,9/30/19 16:30,,,"Library, Architecture",Architecture,Drop In,Print/Copy
215,10/1/19 12:13,,,"Library, Architecture",Architecture,Drop In,Library Information
216,10/1/19 12:55,,,"Library, Architecture",Architecture,Drop In,Print/Copy
217,10/1/19 13:25,,,"Library, Architecture",Architecture,Drop In,Library Information; Question about computer applications available on desktop
218,10/1/19 13:42,,,"Library, Architecture",Architecture,Email,Policies/Fines
219,10/1/19 18:07,,,"Library, Architecture",Architecture,Drop In,Other; Checking to see if someone turned in a student ID
220,10/2/19 12:00,,,"Library, Architecture",Architecture,Drop In,Other; Lost & Found
221,10/2/19 15:30,,,"Library, Architecture",Architecture,Drop In,General Reference
222,10/2/19 15:30,,,"Library, Architecture",Architecture,Drop In,Print/Copy
223,10/2/19 15:44,,,"Library, Architecture",Architecture,Drop In,General Reference
224,10/2/19 15:44,,,"Library, Architecture",Architecture,Drop In,General Reference
225,10/3/19 11:58,,,"Library, Architecture",Circulation,Drop In,Other; Request for scantrons for testing. Had to refer student to student union or bookstore. The vending machine had run out.
226,10/3/19 13:51,,,"Library, Architecture",Architecture,Drop In,Scanner/Microfilm
227,10/3/19 13:51,,,"Library, Architecture",Architecture,Drop In,Library Information
228,10/3/19 14:10,,,"Library, Architecture",Architecture,Drop In,Scanner/Microfilm
229,10/4/19 12:28,,,"Library, Architecture",Architecture,Drop In,Library Information
230,10/4/19 12:28,,,"Library, Architecture",Architecture,Drop In,Library Information
231,10/4/19 16:15,,,"Library, Architecture",Architecture,Telephone,Library Information
232,10/4/19 16:15,,,"Library, Architecture",Architecture,Telephone,Print/Copy
233,10/4/19 16:15,,,"Library, Architecture",Architecture,Telephone,General Reference
234,10/4/19 16:15,,,"Library, Architecture",Architecture,Telephone,Library Information
235,10/4/19 17:19,,,"Library, Architecture",Architecture,Telephone,Library Information
236,10/9/19 12:33,,,"Library, Architecture",Architecture,Drop In,General Reference
237,10/9/19 13:22,,,"Library, Architecture",Architecture,Drop In,Library Information
238,10/9/19 13:22,,,"Library, Architecture",Architecture,Drop In,General Reference
239,10/9/19 14:30,,,"Library, Architecture",Architecture,Drop In,General Reference
240,10/9/19 15:33,,,"Library, Architecture",Architecture,Drop In,Print/Copy
241,10/9/19 15:33,,,"Library, Architecture",Architecture,Drop In,General Reference
242,10/9/19 15:33,,,"Library, Architecture",Architecture,Drop In,General Reference
243,10/9/19 15:48,,,"Library, Architecture",Architecture,Drop In,General Reference
244,10/10/19 12:42,,,"Library, Architecture",Architecture,Drop In,"Referral to Technology Support; Referred student to Area49, the Tech Desk in Atkins for web cam or Skype equipment for loan"
245,10/10/19 17:08,,,"Library, Architecture",Architecture,Drop In,Campus Information
246,10/11/19 16:02,,,"Library, Architecture",Architecture,Drop In,Print/Copy
247,10/11/19 16:02,,,"Library, Architecture",Architecture,Drop In,General Reference
248,10/11/19 16:02,,,"Library, Architecture",Architecture,Drop In,General Reference
249,10/13/19 13:30,,,"Library, Architecture",Architecture,Drop In,Campus Information
250,10/13/19 13:30,,,"Library, Architecture",Architecture,Drop In,Campus Information
251,10/13/19 16:30,,,"Library, Architecture",Architecture,Drop In,General Reference
252,10/13/19 16:39,,,"Library, Architecture",Architecture,Drop In,General Reference
253,10/14/19 10:36,,,"Library, Architecture",Architecture,Drop In,Library Information
254,10/14/19 10:40,,,"Library, Architecture",Architecture,Drop In,Library Information
255,10/14/19 13:14,,,"Library, Architecture",Architecture,Drop In,Campus Information
256,10/14/19 14:34,,,"Library, Architecture",Architecture,Drop In,Policies/Fines
257,10/14/19 16:53,,,"Library, Architecture",Architecture,Drop In,Policies/Fines
258,10/14/19 16:53,,,"Library, Architecture",Architecture,Drop In,Scanner/Microfilm
259,10/14/19 16:53,,,"Library, Architecture",Architecture,Drop In,Library Information
260,10/14/19 16:55,,,"Library, Architecture",Architecture,Drop In,Library Information
261,10/15/19 14:30,,,"Library, Architecture",Architecture,Drop In,Print/Copy
262,10/15/19 14:30,,,"Library, Architecture",Architecture,Drop In,Print/Copy
263,10/16/19 12:29,,,"Library, Architecture",Architecture,Drop In,General Reference
264,10/16/19 15:34,,,"Library, Architecture",Architecture,Drop In,Scanner/Microfilm
265,10/16/19 16:05,,,"Library, Architecture",Architecture,Drop In,Scanner/Microfilm
266,10/16/19 16:06,,,"Library, Architecture",Architecture,Drop In,Print/Copy
267,10/16/19 16:18,,,"Library, Architecture",Architecture,Drop In,Print/Copy
268,10/16/19 16:29,,,"Library, Architecture",Architecture,Drop In,Scanner/Microfilm
269,10/16/19 16:34,,,"Library, Architecture",Architecture,Drop In,Printers Not Connecting to Library PCs
270,10/16/19 17:02,,,"Library, Architecture",Architecture,Drop In,Scanner/Microfilm
271,10/16/19 17:04,,,"Library, Architecture",Architecture,Drop In,Library Information
272,10/17/19 15:43,,,"Library, Architecture",Architecture,Drop In,Campus Information
273,10/18/19 12:41,,,"Library, Architecture",Architecture,Drop In,Scanner/Microfilm
274,10/18/19 14:46,,,"Library, Architecture",Architecture,Drop In,Library Information
275,10/18/19 14:46,,,"Library, Architecture",Architecture,Drop In,General Reference
276,10/18/19 15:38,,,"Library, Architecture",Architecture,Drop In,General Reference
277,10/18/19 15:38,,,"Library, Architecture",Architecture,Drop In,General Reference
278,10/18/19 17:18,,,"Library, Architecture",Architecture,Drop In,General Reference
279,10/18/19 17:18,,,"Library, Architecture",Architecture,Drop In,General Reference
280,10/20/19 13:48,,,"Library, Architecture",Architecture,Drop In,General Reference
281,10/20/19 13:48,,,"Library, Architecture",Architecture,Drop In,General Reference
282,10/20/19 15:21,,,"Library, Architecture",Architecture,Drop In,General Reference
283,10/20/19 15:21,,,"Library, Architecture",Architecture,Drop In,General Reference
284,10/20/19 15:59,,,"Library, Architecture",Architecture,Drop In,General Reference
285,10/21/19 11:29,,,"Library, Architecture",Architecture,Drop In,Library Information
286,10/21/19 12:32,,,"Library, Architecture",Architecture,Drop In,Library Information
287,10/21/19 18:19,,,"Library, Architecture",Architecture,Drop In,Printers Not Connecting to Library PCs
288,10/21/19 18:33,,,"Library, Architecture",Architecture,Drop In,Printers Not Connecting to Library PCs
289,10/21/19 18:33,,,"Library, Architecture",Architecture,Drop In,Printers Not Connecting to Library PCs
290,10/21/19 19:03,,,"Library, Architecture",Architecture,Drop In,General Reference
291,10/21/19 19:28,,,"Library, Architecture",Architecture,Drop In,General Reference
292,10/21/19 19:43,,,"Library, Architecture",Architecture,Drop In,General Reference
293,10/21/19 20:15,,,"Library, Architecture",Architecture,Drop In,General Reference
294,10/22/19 17:57,,,"Library, Architecture",Architecture,Drop In,Library Information
295,10/23/19 12:44,,,"Library, Architecture",Architecture,Drop In,General Reference
296,10/23/19 12:44,,,"Library, Architecture",Architecture,Drop In,Scanner/Microfilm
297,10/24/19 14:38,,,"Library, Architecture",Architecture,Drop In,Print/Copy
298,10/24/19 15:09,,,"Library, Architecture",Architecture,Drop In,Referral to Research Help
299,10/25/19 12:02,,,"Library, Architecture",Architecture,Drop In,General Reference
300,10/25/19 12:02,,,"Library, Architecture",Architecture,Drop In,Print/Copy
301,10/25/19 12:35,,,"Library, Architecture",Architecture,Telephone,Referral to Research Help
302,10/25/19 12:36,,,"Library, Architecture",Architecture,Telephone,Library Information
303,10/25/19 14:12,,,"Library, Architecture",Architecture,Drop In,General Reference
304,10/25/19 15:20,,,"Library, Architecture",Architecture,Drop In,Library Information
305,10/25/19 17:29,,,"Library, Architecture",Architecture,Drop In,Campus Information
306,10/26/19 14:08,,,"Library, Architecture",Architecture,Drop In,General Reference
307,10/26/19 14:08,,,"Library, Architecture",Architecture,Drop In,General Reference
308,10/26/19 16:24,,,"Library, Architecture",Architecture,Drop In,General Reference
309,10/26/19 16:24,,,"Library, Architecture",Architecture,Drop In,General Reference
310,10/26/19 16:47,,,"Library, Architecture",Architecture,Drop In,General Reference
311,10/28/19 12:31,,,"Library, Architecture",Architecture,Drop In,Print/Copy
312,10/28/19 13:55,,,"Library, Architecture",Architecture,Drop In,Print/Copy
313,10/28/19 19:52,,,"Library, Architecture",Architecture,Drop In,Library Information
314,10/29/19 14:24,,,"Library, Architecture",Circulation,Drop In,Other; REPROS technician came by to investigate our printer's recent touchscreen and black functional keys freezing.
315,10/29/19 15:14,,,"Library, Architecture",Architecture,Drop In,Library Information
316,10/29/19 18:00,,,"Library, Architecture",Architecture,Drop In,General Reference
